id,image_id,tree_issue_severity,answer_overall_consistency,answer_missing_critical_nodes,summary_comment
user17,000000014869,critical,맞음,많이 있음,"court의 line을 기준으로 in-court와 out-court 나누는게 필요해보입니다.
railing의 post(세로 기둥)을 잡아냈다면 가로 부분도 잡을 필요가 있어보입니다.
계단의 인스턴스는 단끼리 구분되는 게 맞다고 생각하여 실패로 판단했습니다. 
lace는 shoe의 하위 항목이지 foot가 아니라고 생각했습니다.
head의 하위요소로 zebra때처럼 눈코입을 잡는게 맞다고 생각했습니다"
user17,000000014857,critical,맞음,많이 있음,"wall에서 Baseboard로 한 번 더 세분화하는것도 좋아보임
고양이가 앉아있는 짚? 방석? 도 유의미하므로 잡아내야한다 생각합니다."
user17,000000014855,critical,맞음,많이 있음,"plinth 는 pedestal의 하위요소가 아닌 column의 하위요소가 맞다고 생각함
clock을 세분화할거면 face말고도 hour hand를 추가해야한다고 생각함. 

그리고 남은 영역에 유의미한 요소(building)가 많이 있긴 하나 tree에서 building이 있기는 하므로 building이 있다는건 잡아냈지만 놓친 building이 너무 많으므로 남은 영역에 유의미한 요소가 많다고 판단함"
user16,000000014795,critical,부분적으로 맞음,많이 있음,
user16,000000014743,critical,아님,조금 있음,
user16,000000014707,critical,부분적으로 맞음,많이 있음,
user15,000000014547,critical,맞음,많이 있음,
user15,000000014290,critical,부분적으로 맞음,많이 있음,
user15,000000014285,critical,대체로 맞음,많이 있음,
user14,000000014271,critical,대체로 맞음,많이 있음,
user14,000000014209,critical,대체로 맞음,많이 있음,
user14,000000014108,critical,대체로 맞음,많이 있음,
user14,000000013995,critical,대체로 맞음,많이 있음,
user14,000000013992,critical,대체로 맞음,많이 있음,
user14,000000013986,critical,아님,많이 있음,
user14,000000013980,critical,아님,없음,
user13,000000013912,critical,아님,많이 있음,
user13,000000013893,critical,부분적으로 맞음,많이 있음,
user13,000000013754,critical,부분적으로 맞음,많이 있음,
user13,000000013722,critical,아님,많이 있음,
user13,000000013714,critical,대체로 맞음,많이 있음,
user12,000000013578,critical,대체로 맞음,많이 있음,
user12,000000013540,critical,아님,많이 있음,
user12,000000013525,critical,대체로 맞음,많이 있음,
user12,000000013490,critical,대체로 맞음,많이 있음,
user12,000000013452,critical,대체로 맞음,많이 있음,
user11,000000013159,critical,부분적으로 맞음,많이 있음,
user11,000000013150,critical,부분적으로 맞음,많이 있음,
user10,000000012916,critical,부분적으로 맞음,많이 있음,
user10,000000012883,critical,부분적으로 맞음,많이 있음,
user10,000000012875,critical,맞음,많이 있음,
user1,000000010420,critical,대체로 맞음,많이 있음,
user1,000000010281,critical,대체로 맞음,많이 있음,
user1,000000010130,critical,대체로 맞음,많이 있음,
user9,000000012766,soft,대체로 맞음,조금 있음,
user9,000000012744,soft,맞음,조금 있음,
user9,000000012735,soft,맞음,조금 있음,
user9,000000012733,soft,맞음,조금 있음,
user9,000000012731,soft,맞음,조금 있음,
user9,000000012728,soft,맞음,조금 있음,
user9,000000012711,soft,대체로 맞음,조금 있음,
user9,000000012706,soft,부분적으로 맞음,조금 있음,
user9,000000012704,soft,대체로 맞음,없음,
user9,000000012701,soft,부분적으로 맞음,조금 있음,
user9,000000012700,soft,대체로 맞음,조금 있음,
user9,000000012696,soft,맞음,조금 있음,
user9,000000012673,soft,대체로 맞음,조금 있음,
user9,000000012669,soft,대체로 맞음,조금 있음,
user9,000000012664,soft,대체로 맞음,조금 있음,
user9,000000012647,soft,맞음,조금 있음,
user9,000000012620,soft,대체로 맞음,조금 있음,
user9,000000012614,soft,맞음,조금 있음,
user9,000000012612,soft,맞음,조금 있음,
user9,000000012574,soft,맞음,조금 있음,
user9,000000012567,soft,부분적으로 맞음,조금 있음,
user9,000000012556,soft,맞음,조금 있음,
user9,000000012548,soft,맞음,조금 있음,
user9,000000012524,soft,맞음,조금 있음,
user9,000000012497,soft,대체로 맞음,조금 있음,
user9,000000012495,soft,맞음,조금 있음,
user9,000000012490,soft,맞음,조금 있음,
user9,000000012475,soft,맞음,조금 있음,
user9,000000012471,soft,대체로 맞음,없음,
user9,000000012463,soft,맞음,조금 있음,
user8,000000012460,soft,대체로 맞음,없음,뒤에 있는 사람 얼굴 구분을 못함
user8,000000012459,soft,대체로 맞음,없음,
user8,000000012455,soft,맞음,조금 있음,
user8,000000012428,soft,대체로 맞음,없음,
user8,000000012424,soft,대체로 맞음,없음,야구선수(앞에있는사람)과 관중(뒤에있는 사람)을 구분을 못함
user8,000000012398,soft,맞음,조금 있음,
user8,000000012372,soft,대체로 맞음,없음,
user8,000000012345,soft,맞음,조금 있음,
user8,000000012323,soft,대체로 맞음,없음,
user8,000000012319,soft,대체로 맞음,조금 있음,
user8,000000012269,soft,대체로 맞음,없음,"가방은 잘 찾아내는데, 가방 요소들이 대체적으로 잘 맞지 않았다."
user8,000000012240,soft,대체로 맞음,없음,
user8,000000012230,soft,대체로 맞음,없음,
user8,000000012228,soft,대체로 맞음,없음,
user8,000000012213,soft,대체로 맞음,없음,
user8,000000012192,soft,맞음,조금 있음,바다가 있다는 사실을 인식하지 못함
user8,000000012181,soft,대체로 맞음,조금 있음,
user7,000000012169,soft,대체로 맞음,없음,
user7,000000012158,soft,대체로 맞음,없음,
user7,000000012156,soft,부분적으로 맞음,조금 있음,
user7,000000012155,soft,대체로 맞음,조금 있음,
user7,000000012154,soft,대체로 맞음,조금 있음,
user7,000000012153,soft,대체로 맞음,없음,
user7,000000012147,soft,대체로 맞음,조금 있음,
user7,000000012109,soft,대체로 맞음,없음,
user7,000000012108,soft,맞음,조금 있음,
user7,000000012107,soft,맞음,조금 있음,
user7,000000012103,soft,대체로 맞음,조금 있음,
user7,000000012102,soft,맞음,조금 있음,
user7,000000012101,soft,맞음,조금 있음,
user7,000000012096,soft,대체로 맞음,없음,
user7,000000012093,soft,대체로 맞음,조금 있음,
user7,000000012085,soft,대체로 맞음,없음,
user7,000000012081,soft,대체로 맞음,없음,
user7,000000012069,soft,대체로 맞음,없음,
user7,000000012059,soft,대체로 맞음,없음,
user7,000000012044,soft,맞음,조금 있음,
user7,000000012034,soft,대체로 맞음,없음,
user7,000000012020,soft,대체로 맞음,조금 있음,
user7,000000012016,soft,맞음,조금 있음,
user7,000000012014,soft,대체로 맞음,없음,
user7,000000011990,soft,대체로 맞음,없음,
user7,000000011987,soft,대체로 맞음,조금 있음,
user7,000000011968,soft,맞음,조금 있음,
user7,000000011953,soft,대체로 맞음,조금 있음,
user7,000000011948,soft,대체로 맞음,없음,
user7,000000011931,soft,대체로 맞음,조금 있음,
user7,000000011877,soft,대체로 맞음,없음,
user7,000000011856,soft,맞음,조금 있음,
user6,000000011825,soft,대체로 맞음,없음,
user6,000000011812,soft,맞음,조금 있음,
user6,000000011791,soft,맞음,조금 있음,
user6,000000011775,soft,맞음,조금 있음,
user6,000000011758,soft,맞음,조금 있음,
user6,000000011727,soft,맞음,조금 있음,
user6,000000011723,soft,대체로 맞음,없음,
user6,000000011721,soft,대체로 맞음,조금 있음,
user6,000000011720,soft,대체로 맞음,조금 있음,
user6,000000011719,soft,대체로 맞음,없음,
user6,000000011707,soft,대체로 맞음,없음,
user6,000000011703,soft,맞음,조금 있음,
user6,000000011697,soft,맞음,조금 있음,
user6,000000011694,soft,맞음,조금 있음,
user6,000000011682,soft,맞음,조금 있음,
user6,000000011661,soft,맞음,조금 있음,
user6,000000011655,soft,맞음,조금 있음,
user6,000000011643,soft,맞음,조금 있음,
user6,000000011635,soft,맞음,조금 있음,
user6,000000011605,soft,맞음,조금 있음,
user6,000000011591,soft,맞음,조금 있음,
user6,000000011576,soft,대체로 맞음,없음,
user6,000000011570,soft,맞음,조금 있음,grass가 덜 잡혔습니다
user5,000000011554,soft,부분적으로 맞음,조금 있음,"fence를 너무 못찾았다.
zebra head에 코가 없는게 아쉽다.
tree는 통합됬으면 좋겠다."
user5,000000011552,soft,대체로 맞음,조금 있음,tree가 통합되지 않은점. instance가 올바르게 구분되지 않은 점이 아쉽다.
user5,000000011538,soft,대체로 맞음,조금 있음,
user5,000000011537,soft,대체로 맞음,없음,
user5,000000011528,soft,대체로 맞음,없음,"monitor에 screen이 없어서 아쉬웠다.
cable이 keyboard, mouse의 자식별로 없어서 아쉬웟다."
user5,000000011525,soft,대체로 맞음,없음,
user5,000000011519,soft,부분적으로 맞음,조금 있음,"구분되어 있는 동일한 단어가 많음.
얇은 선을 깔끔하게 못따는게 항상 아쉽다."
user5,000000011506,soft,대체로 맞음,없음,"edge가 너무 뜬금없는 곳을 인식했다.
sheet에 배게랑 이불 구분이 안된 것은 조금 아쉽다."
user5,000000011504,soft,대체로 맞음,조금 있음,Sandwish만 완벽하게 했으면 완벽했을 것 같다. 너무 아쉽다.
user5,000000011496,soft,대체로 맞음,없음,letter에 작은 글씨 (COLLABORATE & LISTEN)이 안들어가서 아쉽다.
user5,000000011495,soft,대체로 맞음,없음,"날개 부분이 애매하긴 한데, 날개로 보이는 패턴이 있는 영역을 잘 못잡았다.
Beak도 2개 있어서 이상하다.
물에 비친 모습이 원래 이상하긴한데 이게 일관성이 없어서 아쉬웠다."
user5,000000011494,soft,대체로 맞음,조금 있음,
user5,000000011487,soft,대체로 맞음,없음,"흑백이라 더 처리를 못하는 것 같다.
꽃에 대한 세밀한 인식이 안된점이 아쉽다."
user5,000000011485,soft,부분적으로 맞음,조금 있음,침대를 다 못잡은 것고 두 침대가 일관적이지 않게 나눈것이 아쉽다.
user5,000000011475,soft,맞음,조금 있음,
user5,000000011461,soft,대체로 맞음,조금 있음,사람과 그 하위 것들을 디테일하게 잡지 못했다.
user5,000000011420,soft,대체로 맞음,조금 있음,countertop쪽 유리와 그 배경을 잘 구분 못하는 것이 아쉽다.
user5,000000011403,soft,대체로 맞음,없음,"crumb가 케이스 아래로 갔으면 좋겠다.
Thumb이 하나는 검지손가락을 헷갈려했다.
plate는 하나로 통합됐으면 좋겠다."
user5,000000011402,soft,대체로 맞음,조금 있음,"전체적으로는 괜찮으나, 단어 통일이 안된 것이 아쉽다."
user5,000000011401,soft,대체로 맞음,없음,pavement 빼고는 대체로 마음에 든다
user5,000000011390,soft,대체로 맞음,없음,"eye - sunglasses, sleeve - sleeve가 통합되면 더 좋았겠다."
user5,000000011374,soft,대체로 맞음,없음,
user5,000000011373,soft,대체로 맞음,없음,"grass가 2개 나오는게 아쉽고, 철조망을 따로 구분 못하는게 아쉽다.
양의 하위요소에 코와 입이 없는게 아쉽다."
user5,000000011361,soft,대체로 맞음,없음,
user5,000000011360,soft,대체로 맞음,없음,토스트기에 비친 캔과 손잡이를 제외한 모든 것이 대체로 괜찮았다.
user5,000000011358,soft,대체로 맞음,없음,leg를 잘 못잡아서 아쉽다
user5,000000011349,soft,대체로 맞음,조금 있음,"사람은 비교적 잘했다. 뒤에있는 사람을 잘 못잡긴했다.
뒷 배경은 아쉽긴하나 AI 입장에서 어려울 것 같긴하다."
user5,000000011347,soft,대체로 맞음,조금 있음,"조그마한 창문, letter 디테일, marking 디테일이 조금 부족했다."
user5,000000011336,soft,대체로 맞음,없음,"Rock이 반복적으로 구분된것이 아쉽다.
소 head의 코가 없는 것이 아쉽다. ear가 head아래 왔으면 좋았을 듯"
user5,000000011334,soft,대체로 맞음,없음,"Arch 자식으로 Window가 있었으면 좋았을 것 같다.
Lighthouse, rock은 없는데 인식해서 많이 아쉽다."
user5,000000011328,soft,대체로 맞음,조금 있음,
user5,000000011326,soft,대체로 맞음,없음,
user5,000000011324,soft,대체로 맞음,없음,콧구멍 놓친것과 neck에서 털을 안잡은게 아쉽다.
user5,000000011323,soft,대체로 맞음,없음,"lettering instance 구분 부족, border 이상함. sky/tree 중복, tree하위 구분은 다소 이상한 면이 있음."
user5,000000011320,soft,대체로 맞음,없음,"BUILDING이 통일되지 않은게 아쉽다.
창문과 베란다를 정확히 못한 것이 아쉽다"
user5,000000011316,soft,대체로 맞음,없음,cloud가 없는데 분류한 것은 많이 아쉽네
user5,000000011313,soft,대체로 맞음,없음,"침대에 올려져 있는 이불, 커버, 배게, 매트리스에 대한 구분과 hierarchy가 아쉽다"
user5,000000011305,soft,대체로 맞음,조금 있음,table위에 있는 사물과 양옆 bag을 세밀하게 인식하지 못해서 아쉽다.
user5,000000011304,soft,대체로 맞음,조금 있음,boot가 통합되었으면 좋았을 것 같다
user5,000000011299,soft,대체로 맞음,조금 있음,"building - window을 잘 못했고
airplane - window를 잘 못했다.
남은 영역에 진흙이 있었으면 좋았겠다."
user5,000000011297,soft,대체로 맞음,조금 있음,fence - cable 찾는게 아쉽고 뒷배경 구분이 아쉽긴한데 나쁘진않다.
user5,000000011294,soft,대체로 맞음,조금 있음,"post - sign 이 떨어져서 아쉽다.
concrete_block의 instance 구분이 아쉽다."
user5,000000011292,soft,대체로 맞음,없음,
user5,000000011291,soft,대체로 맞음,조금 있음,뒤에 남자 못잡은게 아쉽다.
user4,000000011271,soft,대체로 맞음,조금 있음,
user4,000000011269,soft,대체로 맞음,없음,locomotive 가 아닌 전차임
user4,000000011265,soft,대체로 맞음,없음,
user4,000000011262,soft,맞음,조금 있음,벽에 붙은 장식에 대한 정보 누락
user4,000000011260,soft,대체로 맞음,없음,
user4,000000011258,soft,대체로 맞음,조금 있음,유리에 반사되었다는 맥락적 정보가 손실
user4,000000011244,soft,대체로 맞음,없음,
user4,000000011238,soft,대체로 맞음,조금 있음,"타 이미지 대비 같은 조건으로 보임에도 계층이 극도록 적음 (shirt, head, others ..)"
user4,000000011222,soft,맞음,조금 있음,촛대 잔여
user4,000000011205,soft,맞음,조금 있음,
user4,000000011198,soft,맞음,조금 있음,
user4,000000011196,soft,판단불가,없음,과연 피자가 맞는지 의문
user4,000000011195,soft,대체로 맞음,판단불가,"후방에 남은 영역이 바다인지 산인지 판단 불가
"
user4,000000011184,soft,맞음,조금 있음,drawer 아래에 knob 가 위치해야 함 / base에 대한 정의가 필요 / 마우스 휠 제외 버튼 인식 불가
user4,000000011181,soft,대체로 맞음,조금 있음,우산 손잡이 누락
user4,000000011172,soft,부분적으로 맞음,없음,과일 야채 무더기 내 종류 구분 불가 / 항아리 미검출
user4,000000011169,soft,부분적으로 맞음,없음,송아지 누락
user4,000000011168,soft,대체로 맞음,없음,"tip 자체가 segmentation 측면에서 애매한 부분이 있으며, loop의 경우 loop에 해당하는 부분 이외의 segmentation이 많이 발생"
user4,000000011159,soft,대체로 맞음,조금 있음,
user4,000000011147,soft,대체로 맞음,없음,
user4,000000011138,soft,맞음,조금 있음,후면 방향으로 표지판 존재
user4,000000011107,soft,대체로 맞음,없음,
user4,000000011100,soft,대체로 맞음,없음,
user4,000000011081,soft,대체로 맞음,없음,전방의 선형 구조물은 보조날개이며 후방에 propeller 존재 / 비행기가 아닌 드론으로 추정 (비행기 모양의 드론으로 간주하여 수용)
user4,000000011080,soft,대체로 맞음,조금 있음,
user4,000000011077,soft,대체로 맞음,없음,"torso 에 누락되는 부분이 많고, 뒤의 fence에 천막이 쳐진 것을 court 로 분류"
user4,000000011076,soft,대체로 맞음,없음,building 보단 fence 에 가까운 형상 / sign 보다는 경첩의 존재로 볼 때 cabinet 에 가까움
user4,000000011065,soft,대체로 맞음,조금 있음,꼬깔콘 누락/말 다리 누락
user4,000000011052,soft,대체로 맞음,없음,beach의 subtree 로 bird 가 적절한 지 의문
user4,000000011042,soft,대체로 맞음,없음,피자에 대한 세분화 기준이 불명확
user4,000000011041,soft,대체로 맞음,조금 있음,"tomato 가 아닌 파프리카/피망임, 좌하단 열대과일 잔여"
user4,000000011029,soft,대체로 맞음,조금 있음,
user4,000000011025,soft,대체로 맞음,없음,"pant 와 shirt, shoe 등이 중복하여 등장"
user3,000000010981,soft,맞음,조금 있음,
user3,000000010966,soft,맞음,조금 있음,
user3,000000010948,soft,대체로 맞음,조금 있음,
user3,000000010936,soft,맞음,조금 있음,
user3,000000010935,soft,대체로 맞음,조금 있음,
user3,000000010925,soft,맞음,조금 있음,
user3,000000010920,soft,맞음,조금 있음,
user3,000000010907,soft,맞음,조금 있음,
user3,000000010903,soft,대체로 맞음,조금 있음,
user3,000000010881,soft,맞음,조금 있음,
user3,000000010871,soft,대체로 맞음,없음,
user3,000000010867,soft,맞음,조금 있음,
user3,000000010851,soft,대체로 맞음,조금 있음,
user3,000000010844,soft,대체로 맞음,조금 있음,
user3,000000010837,soft,맞음,조금 있음,
user3,000000010831,soft,맞음,조금 있음,
user3,000000010822,soft,맞음,조금 있음,
user3,000000010818,soft,대체로 맞음,조금 있음,
user3,000000010817,soft,대체로 맞음,없음,
user3,000000010800,soft,맞음,조금 있음,
user3,000000010785,soft,대체로 맞음,조금 있음,
user3,000000010784,soft,대체로 맞음,조금 있음,
user3,000000010779,soft,맞음,조금 있음,
user3,000000010766,soft,대체로 맞음,조금 있음,
user3,000000010735,soft,대체로 맞음,조금 있음,
user3,000000010732,soft,맞음,조금 있음,
user3,000000010728,soft,대체로 맞음,없음,
user3,000000010727,soft,대체로 맞음,조금 있음,
user3,000000010720,soft,부분적으로 맞음,없음,
user3,000000010719,soft,대체로 맞음,조금 있음,
user3,000000010714,soft,대체로 맞음,없음,"하나의 물체가 서로 다른 계층에 중복해 속하게되어 마스킹이 중복되는 지점들이 꽤나 자주있다.
또한 우리가 보는 시선에 따라 여러가지로 분류할 수 있는 경우도 존재하여 중복될 수 있다. 
유리창이면 크게 하나를 잡아야할거같은데 구분된다던가.."
user3,000000010711,soft,대체로 맞음,조금 있음,
user3,000000010702,soft,대체로 맞음,조금 있음,배경을 잡지 않는 것이 의도인지 모르겠다. 배경도 Tree로 잡혀야 할텐데
user20,000000015927,soft,대체로 맞음,없음,
user20,000000015918,soft,맞음,조금 있음,
user20,000000015908,soft,대체로 맞음,없음,
user20,000000015906,soft,대체로 맞음,없음,
user20,000000015902,soft,대체로 맞음,조금 있음,
user20,000000015897,soft,대체로 맞음,조금 있음,
user20,000000015895,soft,대체로 맞음,없음,
user20,000000015883,soft,대체로 맞음,조금 있음,
user20,000000015881,soft,대체로 맞음,없음,
user20,000000015876,soft,대체로 맞음,없음,
user20,000000015870,soft,대체로 맞음,조금 있음,
user20,000000015859,soft,부분적으로 맞음,조금 있음,
user20,000000015846,soft,대체로 맞음,조금 있음,
user20,000000015839,soft,대체로 맞음,없음,
user20,000000015826,soft,대체로 맞음,조금 있음,
user20,000000015823,soft,부분적으로 맞음,없음,
user20,000000015818,soft,대체로 맞음,없음,
user20,000000015816,soft,대체로 맞음,없음,
user20,000000015811,soft,대체로 맞음,없음,
user20,000000015810,soft,부분적으로 맞음,없음,
user20,000000015809,soft,대체로 맞음,조금 있음,
user20,000000015802,soft,대체로 맞음,조금 있음,
user20,000000015797,soft,부분적으로 맞음,조금 있음,
user20,000000015794,soft,대체로 맞음,없음,
user20,000000015778,soft,대체로 맞음,조금 있음,
user20,000000015772,soft,대체로 맞음,없음,
user20,000000015764,soft,대체로 맞음,없음,
user20,000000015759,soft,대체로 맞음,없음,
user20,000000015757,soft,부분적으로 맞음,없음,
user20,000000015750,soft,부분적으로 맞음,없음,
user20,000000015745,soft,대체로 맞음,조금 있음,
user20,000000015744,soft,대체로 맞음,조금 있음,
user20,000000015726,soft,대체로 맞음,없음,
user20,000000015725,soft,대체로 맞음,조금 있음,
user20,000000015709,soft,대체로 맞음,조금 있음,
user20,000000015704,soft,대체로 맞음,없음,
user20,000000015693,soft,대체로 맞음,조금 있음,
user20,000000015690,soft,대체로 맞음,없음,
user20,000000015687,soft,대체로 맞음,없음,
user20,000000015684,soft,대체로 맞음,없음,
user20,000000015681,soft,대체로 맞음,조금 있음,
user20,000000015667,soft,대체로 맞음,없음,
user20,000000015653,soft,대체로 맞음,조금 있음,
user20,000000015652,soft,대체로 맞음,없음,
user2,000000010698,soft,대체로 맞음,없음,
user2,000000010693,soft,대체로 맞음,조금 있음,
user2,000000010691,soft,맞음,조금 있음,"sky가 안나와서 남은 영역에 유의미한 요소가 있다고 평가, 나머진 잘함"
user2,000000010683,soft,부분적으로 맞음,조금 있음,
user2,000000010681,soft,맞음,조금 있음,
user2,000000010639,soft,대체로 맞음,조금 있음,
user2,000000010627,soft,대체로 맞음,없음,
user2,000000010621,soft,대체로 맞음,조금 있음,
user2,000000010614,soft,대체로 맞음,조금 있음,
user2,000000010613,soft,대체로 맞음,조금 있음,
user2,000000010591,soft,대체로 맞음,없음,
user2,000000010581,soft,대체로 맞음,조금 있음,
user2,000000010580,soft,대체로 맞음,조금 있음,
user2,000000010579,soft,맞음,조금 있음,
user2,000000010560,soft,대체로 맞음,없음,고양이를 dog로 인식함
user2,000000010546,soft,맞음,조금 있음,
user2,000000010545,soft,대체로 맞음,없음,
user2,000000010539,soft,맞음,조금 있음,
user2,000000010534,soft,대체로 맞음,없음,
user2,000000010526,soft,맞음,조금 있음,
user2,000000010495,soft,대체로 맞음,조금 있음,
user2,000000010484,soft,맞음,조금 있음,
user2,000000010478,soft,대체로 맞음,없음,사과 꼭지가 마스킹 되었으면 좋겠습니다
user2,000000010472,soft,부분적으로 맞음,조금 있음,
user2,000000010463,soft,맞음,조금 있음,
user2,000000010445,soft,부분적으로 맞음,조금 있음,
user2,000000010432,soft,대체로 맞음,조금 있음,
user2,000000010430,soft,대체로 맞음,조금 있음,
user19,000000015617,soft,대체로 맞음,조금 있음,
user19,000000015614,soft,대체로 맞음,조금 있음,
user19,000000015610,soft,맞음,조금 있음,
user19,000000015599,soft,대체로 맞음,조금 있음,
user19,000000015596,soft,대체로 맞음,조금 있음,
user19,000000015586,soft,대체로 맞음,조금 있음,
user19,000000015576,soft,대체로 맞음,조금 있음,
user19,000000015569,soft,대체로 맞음,조금 있음,
user19,000000015566,soft,대체로 맞음,조금 있음,
user19,000000015565,soft,부분적으로 맞음,없음,
user19,000000015564,soft,대체로 맞음,없음,
user19,000000015559,soft,대체로 맞음,조금 있음,
user19,000000015558,soft,대체로 맞음,조금 있음,
user19,000000015542,soft,대체로 맞음,조금 있음,
user19,000000015528,soft,대체로 맞음,조금 있음,
user19,000000015524,soft,대체로 맞음,조금 있음,
user19,000000015514,soft,대체로 맞음,조금 있음,
user19,000000015485,soft,대체로 맞음,조금 있음,
user19,000000015472,soft,맞음,조금 있음,
user19,000000015409,soft,대체로 맞음,없음,
user19,000000015404,soft,대체로 맞음,조금 있음,
user19,000000015399,soft,대체로 맞음,조금 있음,
user19,000000015394,soft,대체로 맞음,조금 있음,
user19,000000015392,soft,대체로 맞음,조금 있음,
user19,000000015379,soft,대체로 맞음,없음,
user19,000000015366,soft,대체로 맞음,조금 있음,
user19,000000015356,soft,대체로 맞음,조금 있음,
user19,000000015347,soft,대체로 맞음,조금 있음,
user19,000000015346,soft,대체로 맞음,조금 있음,
user18,000000015311,soft,맞음,조금 있음,
user18,000000015307,soft,대체로 맞음,없음,
user18,000000015276,soft,대체로 맞음,없음,
user18,000000015269,soft,대체로 맞음,없음,
user18,000000015268,soft,대체로 맞음,없음,
user18,000000015195,soft,대체로 맞음,없음,
user18,000000015185,soft,맞음,조금 있음,
user18,000000015151,soft,맞음,조금 있음,
user18,000000015140,soft,대체로 맞음,없음,
user18,000000015126,soft,대체로 맞음,없음,
user18,000000015113,soft,맞음,조금 있음,
user18,000000015110,soft,대체로 맞음,없음,
user17,000000015074,soft,맞음,조금 있음,
user17,000000015071,soft,대체로 맞음,조금 있음,
user17,000000015069,soft,대체로 맞음,조금 있음,
user17,000000015062,soft,대체로 맞음,없음,
user17,000000015055,soft,맞음,조금 있음,
user17,000000015016,soft,맞음,조금 있음,
user17,000000015002,soft,부분적으로 맞음,조금 있음,
user17,000000014975,soft,맞음,조금 있음,
user17,000000014970,soft,맞음,조금 있음,
user17,000000014969,soft,맞음,조금 있음,
user17,000000014954,soft,맞음,조금 있음,
user17,000000014940,soft,맞음,조금 있음,
user17,000000014938,soft,대체로 맞음,없음,
user17,000000014921,soft,맞음,조금 있음,
user17,000000014892,soft,대체로 맞음,없음,
user17,000000014880,soft,맞음,조금 있음,
user17,000000014876,soft,맞음,조금 있음,
user17,000000014872,soft,맞음,조금 있음,자갈을 못잡은듯 싶습니다
user17,000000014870,soft,맞음,조금 있음,
user17,000000014862,soft,맞음,조금 있음,"trunk의 하위요소로 vine은 뭔가 애매한 듯 싶습니다.
또 vine(나무나 벽에 붙어서 자라는)이 아니라 일반 식물 줄기라 없음 처리 했습니다
zebra-head의 하위요소로 nose도 있어야할 것 같습니다.
뒤에 배경 (forest)을 잡아야할 것 같습니다."
user17,000000014849,soft,대체로 맞음,조금 있음,남은 영영의 유의미한 요소는 Tree와 Bush라고 생각합니다.
user16,000000014824,soft,대체로 맞음,없음,
user16,000000014820,soft,부분적으로 맞음,조금 있음,
user16,000000014819,soft,대체로 맞음,없음,
user16,000000014818,soft,대체로 맞음,조금 있음,
user16,000000014812,soft,대체로 맞음,없음,
user16,000000014807,soft,대체로 맞음,조금 있음,
